run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw14c,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,2025.7047,133.9338,663.7969,1801.6609,-2009.9012,252.0316,174.7161,2,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,171.9144,25.3451,29.0789,151.289,148.628,-86.3961,10.7881,3,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_strapdown_v1,180,4925.8154,170.5691,1456.441,4514.9527,-540.7644,4895.3424,87.0711,4,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,540.8337,58.3402,125.998,492.4795,-539.0613,-43.8733,2.5447,5,test,phone,True,
vw16a,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,21.5989,17.3872,5.1807,19.3048,5.762,20.8161,19.0384,1,test,phone,True,
vw16a,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,89.7366,21.6245,26.7029,80.3468,-60.8102,65.9904,21.9656,2,test,phone,True,
vw16a,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,489.4651,42.0557,145.1735,485.8116,-257.6174,416.1738,28.1827,3,test,phone,True,
vw16a,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,426.8182,20.9967,146.5934,397.3011,-346.0167,-249.8988,1.2972,4,test,phone,True,
vw16b,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,20.4911,9.3534,6.108,15.456,10.4108,17.6493,21.8898,1,test,phone,True,
vw16b,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,135.83,30.9734,43.9005,132.0208,-126.0058,-50.7199,9.623,2,test,phone,True,
vw17,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,40.3719,23.2454,17.0131,38.2958,-21.5275,-34.1535,17.382,1,test,phone,True,
vw2,2026-09-09T00:14:10Z,baseline_strapdown_v1,180,2267.0146,89.4295,907.2502,2149.7488,-2259.59,185.5489,65.2508,1,test,phone,True,
vw2,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,27.071,45.0042,11.2471,25.2757,-26.9467,2.591,5.2134,2,test,phone,True,
vw2,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,748.6705,53.1892,226.9932,695.8393,-105.3211,-741.2475,47.1144,3,test,phone,True,
vw2,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,333.6404,39.9792,150.1994,314.3169,-166.4876,289.132,22.8156,4,test,phone,True,
vw2,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,1424.9065,44.5971,439.9157,1277.7251,1374.9521,-373.8422,13.7071,5,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,53.4197,40.9832,15.1924,48.2111,-53.4198,0.0588,21.9972,1,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,1533.7168,84.3666,587.5987,1431.7646,-1383.0516,662.8088,,2,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,209.1064,63.0098,43.079,180.6929,-187.5371,92.4916,82.918,3,test,phone,True,
vw3,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,250.287,25.7001,100.9778,200.6478,-218.4353,122.1911,100.0524,4,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,2995.7243,83.6426,1428.1885,2887.9388,-1607.415,-2527.5609,37.4527,1,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,509.097,59.5116,120.479,461.0617,151.6733,485.9815,33.4612,2,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,45.6644,15.3914,6.9078,42.1534,-4.0794,45.4819,11.5449,3,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,353.8764,61.4908,57.6344,353.6544,-132.0391,-328.3246,5.8617,4,test,phone,True,
vw4,2026-09-09T00:14:10Z,baseline_strapdown_v1,180,488.1143,52.4016,146.7571,404.6871,479.4515,-91.5156,5.6477,5,test,phone,True,
vw5,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,274.5239,147.4427,112.8123,263.6295,274.5138,2.3667,5.8153,1,test,phone,True,
vw5,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,97.5893,534.4334,41.715,91.2459,-10.9244,-96.9759,86.0873,2,test,phone,True,
vw6,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,46.0349,57.6513,1.8741,40.3286,-32.207,32.8926,93.4026,1,test,phone,True,
vw6,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,395.13,156.7204,184.1689,377.3833,-349.6708,184.0169,116.4371,2,test,phone,True,
vw7,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,241.6752,111.6778,85.1184,228.4525,172.1966,169.5714,22.6584,1,test,phone,True,
vw7,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,14.5869,21.985,6.033,14.091,-9.3074,11.2316,40.003,2,test,phone,True,
vw8,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,469.4975,135.7122,109.2497,416.6769,168.3333,-438.2908,39.1921,1,test,phone,True,
vw8,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,10.0639,14.4451,10.4227,16.7234,-5.7096,-8.2874,63.594,2,test,phone,True,
vw8,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,252.1296,107.5256,90.5174,240.2118,-213.4915,134.1255,111.7979,3,test,phone,True,
vw9,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,39.7713,47.3393,7.6383,36.3391,26.6684,29.5052,29.3622,1,test,phone,True,
vw10,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,56.6777,42.7886,32.0227,56.2659,39.6754,40.4749,12.7939,1,test,phone,True,
vw11,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,51.5401,57.3789,17.0985,49.7626,-51.5332,-0.8415,,1,test,phone,True,
vw11,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,399.1432,26.548,491.8382,786.4076,14.4649,-398.8872,44.9188,2,test,phone,True,
vw11,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,252.0325,53.7653,239.4678,269.2345,124.9862,-218.8605,2.5523,3,test,phone,True,
vw11,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,308.6515,41.8868,117.1967,290.8942,-294.0996,93.6504,16.4642,4,test,phone,True,
vw12,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,49.7812,18.6607,17.7579,46.4692,-37.6101,32.6134,10.4609,1,test,phone,True,
vw12,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,270.9473,37.9171,89.118,247.4632,-223.0547,153.8108,26.3059,2,test,phone,True,
vw14a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,60,726.0204,50.7901,224.9637,673.465,-597.0918,-412.9947,30.5668,1,test,phone,True,
vw14a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,30,287.9647,36.1956,80.7068,264.3644,-277.9744,75.1915,29.0076,2,test,phone,True,
vw14a,2026-09-09T11:50:53Z,inav_ai_ukf_v1,10,52.7303,21.8016,12.5001,47.309,-25.4357,46.1899,26.5468,3,test,phone,True,
vw14b,2026-09-09T11:50:53Z,inav_ai_ukf_v1,120,2280.2069,76.5136,994.6554,2199.1951,-1340.2627,-1844.9172,31.3659,1,test,phone,True,
